pnr;canton
1889;ZH
1891;BE
1892;
1893;
1894;Genève
1895;ZH
1896;ZH
1897;VD
1898;Genève
1899;ZH
1900;BE
1901;ZH
1904;Genève
1905;BE
1909;BE
1911;FR
1912;NE
1914;NE
1916;
1917;ZH
1919;SG
1920;BE
1921;NE
1923;ZH
1925;ZG
1926;ZH
1928;FR
1931;Genève
1934;ZH
1935;Genève
1937;ZH
1938;VD
1939;ZH
1942;
1945;VD
1946;Genève
1947;Genève
1948;FR
1949;BS
1951;ZH
1952;ZH
1954;GR
1956;Genève
1957;Genève
1959;VD
1962;Genève
1963;Genève
1965;BE
1966;FR
1967;Genève
1968;BS
1969;ZH
1971;Genève
1972;Genève
1976;SG
1977;NE
1978;FR
1979;ZH
1981;FR
1982;Genève
1983;AG
1984;BE
1985;Genève
1986;SG
1988;Genève
1989;BE
1991;NE
1992;SG
1993;BE
1994;NE
1997;Genève
2001;Genève
2003;ZH
2004;HH
2006;
2007;BS
2008;BE
2010;Genève
2012;
2013;
2014;
2015;
2016;ZH
2018;VD
2019;SG
2020;Genève
2021;ZH
2022;VD
2023;VD
2024;FR
2026;ZH
2027;VD
2030;SG
2032;BS
2033;VD
2034;BS
2035;TI
2037;
2040;VD
2041;Genève
2042;BS
2046;BE
2048;FR
2049;VD
2052;BE
2053;
2057;ZH
2058;
2059;BS
2062;SG
2064;VD
2066;
2067;Genève
2068;FR
2070;BE
2071;Genève
2072;BL
2073;SG
2077;BE
2082;VD
2089;BE
2090;BE
2092;SG
2097;Genève
2099;Genève
2101;Genève
2103;
2104;VD
2105;Genève
2107;Genève
2108;BS
2110;ZH
2116;Genève
2122;ZH
2123;VD
2125;VD
2126;VD
2127;ZH
2128;BE
2129;SZ
2130;ZH
2133;
2135;ZH
2137;VD
2138;Genève
2140;
2141;VD
2142;ZH
2145;BL
2146;BS
2147;BS
2148;
2149;ZH
2150;FR
2151;ZH
2153;NRW
2157;
2160;ZH
2161;ZH
2163;ZH
2164;VD
2165;VD
2166;ZH
2169;Genève
2172;Genève
2173;
2174;ZH
2176;TI
2178;ZH
2179;ZH
2180;VD
2181;NE
2184;ZH
2185;Genève
2186;FR
2187;SG
2190;VD
2191;ZH
2192;ZH
2194;Genève
2196;Genève
2197;BS
2198;Genève
2200;NE
2201;BS
2202;VD
2203;Genève
2206;TI
2210;Genève
2211;ZH
2212;ZH
2213;BE
2216;VS
2217;Genève
2219;BE
2220;SG
2221;ZH
2223;BE
2224;BE
2227;
2228;
2229;
2230;
2231;FR
2232;NE
2233;BS
2234;ZH
2235;Genève
2237;BS
2239;BE
2242;Genève
2243;LU
2244;ZH
2245;
2246;ZH
2247;BE
2248;ZH
2250;ZH
2254;
2255;AG
2257;NE
2258;VD
2264;ZH
2265;ZH
2267;ZH
2269;BS
2270;ZH
2272;ZH
2273;Genève
2277;ZH
2283;Genève
2284;BS
2286;BS
2289;ZH
2290;BS
2291;SG
2293;BS
2295;VD
2296;BE
2298;LU
2300;SH
2303;BS
2304;BE
2305;Genève
2306;VD
2307;Genève
2308;ZH
2310;BE
2313;BS
2315;Genève
2316;FR
2317;ZH
2319;BS
2322;FR
2325;BS
2326;ZH
2331;Genève
2332;Genève
2336;ZH
2337;SG
2339;FR
2340;BS
2342;GR
